"cost";"region"
3821;"rural"
3981;"rural"
3931;"rural"
5498;"regional"
5582;"rural"
6046;"regional"
4257;"metropolitan"
4591;"rural"
4775;"regional"
6163;"metropolitan"
3840;"rural"
4053;"rural"
4844;"regional"
6266;"metropolitan"
4026;"regional"
2478;"metropolitan"
4347;"regional"
5104;"rural"
4673;"rural"
6389;"regional"
3935;"rural"
2659;"regional"
4072;"regional"
5442;"rural"
5159;"rural"
2861;"rural"
5012;"rural"
2251;"metropolitan"
3441;"regional"
5143;"metropolitan"
3677;"regional"
4891;"rural"
4887;"rural"
5299;"regional"
3597;"rural"
4210;"rural"
4532;"metropolitan"
4212;"metropolitan"
3822;"regional"
3556;"metropolitan"
4175;"rural"
3628;"rural"
4519;"rural"
5693;"rural"
8000;"rural"
5119;"regional"
3362;"metropolitan"
4508;"metropolitan"
6439;"rural"
4071;"regional"
3366;"metropolitan"
5506;"metropolitan"
3987;"rural"
3997;"rural"
2671;"rural"
4683;"rural"
4950;"metropolitan"
4336;"regional"
4896;"rural"
